shop,住所cd
ファミリーランドポニー出水店,鹿児島県出水市黄金町３１３ー１サンキュー出水店内ゲームコーナー,DBRD
ファミリーランドポニー加世田店,鹿児島県南さつま市加世田地頭所サンキュー加世田店２階ゲームコーナー,DBRD
ファミリーランドポニー北指宿店,鹿児島県指宿市西方サンキュー北指宿店内ゲームコーナー,RD
ファミリーランドポニー大口店,鹿児島県伊佐市大口里801-1タイヨー大口店内ゲームコーナー,DB
ファミリーランドポニー寿店,鹿児島県鹿屋市寿7丁目494－1サンキュー寿店2階ゲームコーナー,DB
ファミリーランドポニー小松台店,宮崎県宮崎市小松台南町13-1タイヨー小松台店内2階ゲームコーナー,DB
ファミリーランドポニー小林店,宮崎県小林市堤金鳥居3005-12サンキュー小林店内ゲームコーナー,DB
ファミリーランドポニー広原店,宮崎県北諸県郡三股町宮村2950－3サンキュー広原店内ゲームコーナー,DB
ファミリーランドポニー新町店,鹿児島県霧島市国分新町980番地タイヨー新町店内２階ゲームコーナー,DB
ファミリーランドポニー枕崎店,鹿児島県枕崎市東本町１番地タイヨー枕崎店内２階ゲームコーナー,DB
ファミリーランドポニー永利店,鹿児島県薩摩川内市永利町712番地タイヨー永利店内ゲームコーナー,DBRD
ファミリーランドポニー花棚店,鹿児島県鹿児島市吉野3丁目1番2号タイヨー花棚店内２階ゲームコーナー,DB
ファミリーランドポニー西志布志店,鹿児島県志布志市志布志町安楽100-1サンキュー西志布志店内ゲームコーナー,DB
ファミリーランドポニー錦町店,宮崎県宮崎市錦町38-1グラード錦町2Fゲームコーナー,DB
ファミリーランド西部モール店,群馬県伊勢崎市宮子町3423-15,DBRD
ファンタジックランド可児店,岐阜県可児市下恵土５７５０ＰＡＴＩＯ３階,DBRD
ファンタジックランド太平通店,愛知県名古屋市中川区宮脇町2-11　ヨシヅヤ太平通り店３Ｆ,DB
ファンタジックランド清洲店,愛知県清須市西市場5-5-3　ヨシヅヤ清洲店３Ｆ,DB
ファンタジックランド西春,愛知県北名古屋市鹿田若宮3926-10　ヨシズヤ西春店　５階,DBAB
ファンタジックランド高浜店,愛知県高浜市神明町8丁目20番地１Ｔぽーと　　2階,DBRD
ファンタジードーム八戸店,青森県八戸市江陽２－１４－１ラピア八戸別棟,DBRDAB
ファンタジープラザ上水戸店,茨城県水戸市上水戸2-9-10MEGAドン・キホーテ上水戸店２階,DBRD
ファンタジープラザ千代田橋店,愛知県名古屋市千種区千代田橋2-1-1アピタ千代田橋店3F,DBRD
ファンタジープラザ名古屋店,愛知県名古屋市北区玄馬町234-1ドン・キホーテ名古屋本店クロスタウン２F,DBRDAB
ファンタジープラザ名張店,三重県名張市下比奈知3100-1MEGAドンキホーテUNY名張店2F,DB
ファンタジープラザ大口店,愛知県丹羽郡大口町丸2-36MEGAドンキホーテUNY大口店２Ｆ,RD
ファンタジープラザ富士吉原店,静岡県富士市国久保2丁目1-10MEGAドンキホーテUNY富士吉原店2F,DBRD
ファンタジープラザ成東店,千葉県山武市成東１８０８－１MEGAドンキホーテ　ラパーク成東店2F,DBRD
ファンタジープラザ松永店,広島県福山市柳津町1-5-7　MEGAドンキホーテ松永店2F,DBRD
ファンタジープラザ港店,愛知県名古屋市港区当知2-1501ポートウォークみなと2F,RD
ファンタジープラザ秋田店,秋田県秋田市旭北錦町４－５８ドン・キホーテ秋田店１階,DBRD
ファンタジープラザ西帯広2号店,北海道帯広市西二十一条南４－１ＭＥＧＡドン・キホーテ西帯広店２F,RD
ファンタジープラザ豊田元町店,愛知県豊田市土橋町2-65MEGAドンキホーテUNY豊田元町店2F,DB
ファンタジープラザ長野店,長野県長野市高田1758ＭＥＧＡドンキホーテ長野店２Ｆ,DBRD
ファンタジーランド イオン旭川永山店,北海道旭川市永山3条12丁目2-11,DBRD
ファンタジーランドガルー宇都宮店,栃木県宇都宮市江曽島本町22-7 アピタ宇都宮店２階,DBRD
ファンタジーランドガルー館林店,群馬県館林市楠町3622-4アゼリアモール2階,DBRD
ファンファン足利店,栃木県足利市朝倉町２４５コムファーストＳＣ４Ｆ,DB
フクイレジャーランドワイプラザ店,福井県福井市新保町７－９－１ヤスサキワイプラザＢ棟２階,DBRDAB
フジグランナタリー,広島県廿日市市阿品3-1-1,DB
フジグラン三原,広島県三原市円一町1-1-7,DBRD
フジグラン丸亀,香川県丸亀市川西町南１２８０－１,DBRD
フジグラン今治,愛媛県今治市東門町５－１３－１フジグラン今治,DBRD
フジグラン北宇和島,愛媛県宇和島市伊吹町甲９１２－２,DB
フジグラン北島店,徳島県板野郡北島町鯛浜字西ノ須174,DBRD
フジグラン十川,香川県高松市十川東町５５－１,RD
フジグラン四万十,高知県四万十市具同２２２２,DBRD
フジグラン大洲,愛媛県大洲市中村246-1,DB
フジグラン宇部,山口県宇部市明神町３－１－１,DBRD
フジグラン安芸,広島県安芸郡坂町北新地ニ丁目３番３０号,DBRD
フジグラン安芸店子供の国,広島県安芸郡坂町北新地ニ丁目３番３０号　フジグラン安芸 2F,RD
フジグラン山口,山口県山口市黒川３７３６,DB
フジグラン岩国,山口県岩国市麻里布町2-9-8,DB
フジグラン岩国店,山口県岩国市麻里布町フジグラン岩国店５Ｆ,RD
フジグラン広島,広島県広島市中区宝町２－１フジグラン広島店内,DBRD
フジグラン東広島,広島県東広島市西条町御薗宇4405,DBRD
フジグラン松山,愛媛県松山市宮西１－２－１ＦＧ松山４Ｆ,DBRD
フジグラン石井,徳島県名西郡石井町高川原字天神544番地1,DBRD
フジグラン緑井,広島県広島市安佐南区緑井1-5-2,DBRD
フジグラン西条,愛媛県西条市新田字北新田２３５,DBRD
フジグラン重信,愛媛県東温市野田３－１－１３,RD
フジグラン野市,高知県香南市野市町西野２００７－１,DBRD
フジグラン阿南,徳島県阿南市領家町土倉10,DBRD
フジグラン高知,高知県高知市朝倉東町52-15,DBRD
フジグラン高陽,広島県広島市安佐北区亀崎1-1-6,DBRD
フジ南宇和店,愛媛県南宇和郡愛南町城辺乙544,RD
フジ宿毛店,高知県宿毛市宿毛5380番地1,DB
フジ長門店,山口県長門市仙崎字網田３２２－２,DB
フタバボウル関大前店,大阪府吹田市千里山東1-7-18,AB
フタバ図書 TSUTAYA ALTiアルパーク北棟店アルティランド,広島県広島市西区草津南4丁目7-1アルパーク北棟2階,DBRDAB
フタバ図書 ギガステーション戸田店,埼玉県戸田市美女木943-7,DBRDAB
フタバ図書ギガ春日店,福岡県春日市昇町8-1-1　アミューズメントコーナー内,DBRD
ブラックジャックアクア店,広島県広島市安佐南区上安2-27-2フタバ図書ＧＩＧＡ上安ソフトピア,AB
ブラックジャック東広島店,広島県東広島市西条町御薗宇6120番地　賀茂ボール内,DBRDAB
プラサカプコン イオンタウン佐沼店,宮城県登米市南方町新島前46番地1イオンタウン佐沼,DBRDAB
プラサカプコン 吉祥寺店,東京都武蔵野市吉祥寺本町１丁目10-1いなりやビルＢ１Ｆ,DBRDAB
プラサカプコン 大曲店,秋田県大仙市和合字坪立177　イオンモール大曲　 2F,DBRDAB
プラサカプコン 成田店,千葉県成田市ウイング土屋24　イオンモール成田 2F,DBRDAB
プラサカプコン 石巻店,宮城県石巻市茜平4丁目104番地イオン石巻ショッピングセンター2F,DBRDAB
プラサカプコン大分店,大分県大分市公園通り西２－１パークプレイス大分２F,DBRDAB
プラサカプコン富津店,千葉県富津市青木１２４－１イオン富津ショッピングセンター内ゲームセンター,DBRDAB
プラサカプコン広島店,広島県広島市佐伯区石内東4-1-1ジ アウトレット広島（区画No.1030）,DBRDAB
プラサカプコン府中店,東京都府中市宮町１－４１－２　ミッテン府中店７階,DBRDAB
プラサカプコン徳重店,愛知県名古屋市緑区鳴海町字徳重18-44,DBRDAB
プラサカプコン志都呂店,静岡県浜松市西区志都呂町2丁目37番1号イオンモール浜松志都呂 3階,DBRDAB
プラサカプコン新居浜店,愛媛県新居浜市前田町８－８イオンモール新居浜２F,DBRDAB
プラサカプコン池袋店,東京都豊島区東池袋1-30-3キュープラザ池袋３階,DBRDAB
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条3717,DBRDAB
プラサカプコン直方店,福岡県直方市湯野原2-1-1イオン直方SC2F,DBRDAB
プラサカプコン磯子店,神奈川県横浜市磯子区磯子１－2－１マリコム磯子ショッピングセンター2階,DBRDAB
プラサカプコン稲沢店,愛知県稲沢市長野7丁目1-2リーフウォーク稲沢２階,DBRDAB
プラサカプコン羽生店,埼玉県羽生市川崎２－２８１－３イオンモール羽生店２階,DBRDAB
プラサカプコン藤井寺店,大阪府藤井寺市岡２丁目１０番１１号イオン藤井寺ショッピングセンター,DBRDAB
プラサカプコン高知店,高知県高知市秦南町1丁目4番8号 イオンモール高知東館3階,DBRDAB
プラザアピア静岡店,静岡県静岡市駿河区中吉田15-8プラザアピア静岡,DB
プラザパル三田店,兵庫県三田市けやき台１－６－２イオン三田店　一番館３階,DB
プラファ氷見,富山県氷見市加納484,RD
プリモピア鴻巣店,埼玉県鴻巣市北新宿225-1UNICUS鴻巣1F,DB
プレイタウン・パル富士吉田店,山梨県富士吉田市新西原4-12-15,AB
プレイドーム松山,愛媛県松山市余戸南4丁目 9-40,AB
プレイランド イオン北浦和店,埼玉県さいたま市浦和区常盤10-20-29 イオン北浦和3階,DBRD
プレイランド 京都店,京都府京都市右京区山ノ内池尻町1-1　京都ファミリー3Ｆ,DBRD
プレイランド大和鶴間店,神奈川県大和市下鶴間1-3-1イトーヨーカドー大和鶴間店3階,DBRD
プレイランド川崎店,神奈川県川崎市川崎区小田栄二丁目2-1　イトーヨーカドー川崎店3F,DBRD
プレビ ALCo越谷ショッピングスクエア店,埼玉県越谷市越ケ谷ALCO越谷ショッピングスクエア内B1Fプレビプレイランド,DBRD
プレビ ジョイフル本田千代田店,群馬県邑楽郡千代田町萱野813-1ジョイフル本田千代田店2Fプレビプレイランド,DBRD
プレビ ドン・キホーテUNY可児店,岐阜県可児市中恵土字溝向2120番1　ドン・キホーテUNY可児店内,RD
プレビ ホームセンタームサシ名取,宮城県名取市愛島郷1-1-1 ホームセンタームサシ名取店内２階 プレビプレイランドコーナー,DBRD
プレビ ワンズモール,千葉県千葉市稲毛区長沼町３３０番地５０　ワンズモール２階,DBRD
プレビ 鹿島エブリア,福島県いわき市鹿島町米田字日渡５ 　鹿島エブリアショッピングセンター内２階　アミューズメント,DBRD
プレビVタウン芥見,岐阜県岐阜市芥見南山２－１－８　Ｖタウン芥見店アミューズメントPLABI,DBRD
プレビままともプラザ町田店,東京都町田市旭町１－２４－１　ままともプラザ町田店内２階プレビプレイランド,DBRD
プレビエブリイOkanaka津高店,岡山県岡山市北区横井上83-3,DBRD
プレビトナリエ四日市店,三重県四日市市安島１－３－３１トナリエ四日市店５F,DBRDAB
プレビモラージュ柏店,千葉県柏市大山台２丁目３番地　モラージュ柏２階,DBRD
プレビ常陸大宮ショッピングセンターピサーロ,茨城県常陸大宮市下村田２３８７　イオン常陸大宮店内プレビプレイランド,DBRD
ベイシア更埴店,長野県千曲市桜堂西沖333-1,DBRD
ベイシア矢板店,栃木県矢板市末広町25-1,DBRD
ベネクス川越,埼玉県川越市大仙波340-1,AB
ペニーポット秋田店,秋田県秋田市中通2-8-1イトーヨーカドー秋田店5F,DB
ポート24八事店,愛知県名古屋市昭和区広路町北石坂102-4,AB
ポート24幸田店,愛知県額田郡幸田町大字相見字沖原1-3カメリアガーデン内,DBRDAB
ポート24浜松店,静岡県浜松市中央区坪井町4183-1,DBRDAB
マックスプラザ善通寺,香川県善通寺市中村町１７９８－２マックスボウル,DBAB
マトリクス前橋,群馬県前橋市小相木町558-1,AB
マリンガーデンららぽーとTOKYO-BAY,千葉県船橋市浜町2-2-2ららぽーと TOKYO-BAY西館3Fマリンガーデン,DBRDAB
